Zipcode  ,sum Total Attendance (PreK-12)  
20112,226
20170,813
20186,67
22046,8
22209,228
22314,419
22443,76
22554,31
22801,132
22803,101
22835,183
22903,9
23040,125
23222,282
23223,0
23225,162
23434,50
23510,205
23523,28
23605,7
23669,431
23705,197
23832,468
23847,57
23851,130
23883,105
23901,59
23921,126
23923,240
23924,32
23955,395
24012,279
24013,342
24084,28
24112,230
24121,132
24141,9
24201,491
24251,326
24266,1888
24348,154
24354,83
24416,70
24450,201
24503,165
24523,49
24531,27
24541,15
24614,581
24651,14